index,lat,lon
1,51.4877,7.3976
2,51.4877,7.397745517241379
3,51.4877,7.397891034482758
4,51.4877,7.398036551724138
5,51.4877,7.398182068965517
6,51.4877,7.3983275862068965
7,51.4877,7.398473103448276
8,51.4877,7.398618620689655
9,51.4877,7.3987641379310345
10,51.4877,7.398909655172414
11,51.4877,7.399055172413793
12,51.4877,7.3992006896551725
13,51.4877,7.399346206896552
14,51.4877,7.399491724137931
15,51.4877,7.399637241379311
16,51.4877,7.399782758620689
17,51.4877,7.399928275862068
18,51.4877,7.400073793103448
19,51.4877,7.400219310344827
20,51.4877,7.400364827586206
21,51.4877,7.400510344827586
22,51.4877,7.400655862068965
23,51.4877,7.400801379310344
24,51.4877,7.400946896551724
25,51.4877,7.401092413793103
26,51.4877,7.4012379310344825
27,51.4877,7.401383448275862
28,51.4877,7.401528965517241
29,51.4877,7.4016744827586205
30,51.4877,7.40182
31,51.4877,7.401965517241379
32,51.4877,7.4021110344827585
33,51.4877,7.402256551724138
34,51.4877,7.402402068965517
35,51.4877,7.402547586206897
36,51.4877,7.402693103448276
37,51.4877,7.402838620689655
38,51.4877,7.402984137931035
39,51.4877,7.403129655172414
40,51.4877,7.403275172413793
41,51.4877,7.403420689655173
42,51.4877,7.403566206896552
43,51.4877,7.403711724137931
44,51.4877,7.403857241379311
45,51.4877,7.404002758620689
46,51.4877,7.4041482758620685
47,51.4877,7.404293793103448
48,51.4877,7.404439310344827
49,51.4877,7.4045848275862065
50,51.4877,7.404730344827586
51,51.4877,7.404875862068965
52,51.4877,7.4050213793103445
53,51.4877,7.405166896551724
54,51.4877,7.405312413793103
55,51.4877,7.405457931034483
56,51.4877,7.405603448275862
57,51.4877,7.405748965517241
58,51.4877,7.405894482758621
59,51.4877,7.40604
60,51.4877,7.406185517241379
61,51.4877,7.406331034482759
62,51.4877,7.406476551724138
63,51.4877,7.406622068965517
64,51.4877,7.406767586206897
65,51.4877,7.406913103448276
66,51.4877,7.407058620689655
67,51.4877,7.407204137931035
68,51.4877,7.407349655172414
69,51.4877,7.407495172413793
70,51.4877,7.407640689655173
71,51.4877,7.407786206896552
72,51.4877,7.407931724137931
73,51.4877,7.408077241379311
74,51.4877,7.408222758620689
75,51.4877,7.408368275862069
76,51.4877,7.408513793103448
77,51.4877,7.408659310344827
78,51.4877,7.408804827586207
79,51.4877,7.408950344827586
80,51.4877,7.409095862068965
81,51.4877,7.409241379310345
82,51.4877,7.409386896551724
83,51.4877,7.409532413793103
84,51.4877,7.409677931034483
85,51.4877,7.409823448275862
86,51.4877,7.409968965517241
87,51.4877,7.410114482758621
88,51.4877,7.41026
89,51.4877,7.410405517241379
90,51.4877,7.410551034482759
91,51.4877,7.410696551724138
92,51.4877,7.4108420689655174
93,51.4877,7.410987586206897
94,51.4877,7.411133103448276
95,51.4877,7.4112786206896555
96,51.4877,7.411424137931035
97,51.4877,7.411569655172414
98,51.4877,7.4117151724137935
99,51.4877,7.411860689655173
100,51.4877,7.412006206896552
101,51.4877,7.4121517241379316
102,51.4877,7.412297241379311
103,51.4877,7.412442758620689
104,51.4877,7.412588275862069
105,51.4877,7.412733793103448
106,51.4877,7.412879310344827
107,51.4877,7.413024827586207
108,51.4877,7.413170344827586
