index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
60,7.41597798,51.49306352,154.05,42.624,13.00,-101.00,-10.00,7.412209,51.492758,1815.000000
61,7.41593331,51.49318472,154.09,43.704,8.00,-96.00,-9.00,7.412209,51.492758,1815.000000
62,7.41589589,51.49329357,153.53,43.272,8.00,-96.00,-9.00,7.412209,51.492758,1815.000000
63,7.41586464,51.49339545,153.56,42.696,6.00,-95.00,-8.00,7.412209,51.492758,1815.000000
64,7.41583636,51.49348443,153.05,42.084,6.00,-95.00,-8.00,7.412209,51.492758,1815.000000
65,7.41580617,51.49360106,152.82,42.48,5.00,-95.00,-9.00,7.412209,51.492758,1815.000000
66,7.41577070,51.49371518,152.68,42.768,5.00,-95.00,-9.00,7.412209,51.492758,1815.000000
67,7.41573917,51.49382350,152.81,43.452,8.00,-91.00,-11.00,7.412209,51.492758,1815.000000
68,7.41570282,51.49393450,153.43,42.444,8.00,-91.00,-11.00,7.412209,51.492758,1815.000000
69,7.41566065,51.49404643,153.57,42.876,8.00,-91.00,-11.00,7.412209,51.492758,1815.000000
70,7.41562269,51.49414348,153.22,35.1,7.00,-93.00,-8.00,7.412209,51.492758,1815.000000
71,7.41559060,51.49421863,153.14,26.532,7.00,-93.00,-8.00,7.412209,51.492758,1815.000000
72,7.41557033,51.49427712,153.01,22.212,16.00,-94.00,-8.00,7.412209,51.492758,1815.000000
73,7.41554805,51.49433395,153.12,19.296,16.00,-94.00,-8.00,7.412209,51.492758,1815.000000
74,7.41552672,51.49438040,153.19,12.888,10.00,-91.00,-8.00,7.412209,51.492758,1815.000000
75,7.41551776,51.49442254,153.27,4.32,10.00,-91.00,-8.00,7.412209,51.492758,1815.000000
76,7.41550146,51.49443217,153.47,1.044,6.00,-98.00,-11.00,7.412209,51.492758,1815.000000
77,7.41550146,51.49443217,153.50,0,6.00,-98.00,-11.00,7.412209,51.492758,1815.000000
78,7.41550146,51.49443217,153.54,0,7.00,-98.00,-12.00,7.412209,51.492758,1815.000000
79,7.41550146,51.49443217,153.58,0,7.00,-98.00,-12.00,7.412209,51.492758,1815.000000
