index,lon,lat,alt,speed,sinr,rsrp,rsrq,cellLon,cellLat,cellFreq
61,7.47285564,51.51303777,148.92,33.12,17.00,-94.00,-6.00,7.474795,51.512835,2680.000000
62,7.47287885,51.51312457,148.73,36.684,17.00,-94.00,-6.00,7.474795,51.512835,2680.000000
63,7.47289914,51.51321614,149.33,37.908,18.00,-97.00,-7.00,7.474795,51.512835,2680.000000
64,7.47291705,51.51330996,150.18,39.924,18.00,-97.00,-7.00,7.474795,51.512835,2680.000000
65,7.47293105,51.51340339,150.90,40.5,5.00,-102.00,-10.00,7.474795,51.512835,2680.000000
66,7.47294222,51.51349474,152.36,40.86,5.00,-102.00,-10.00,7.474795,51.512835,2680.000000
67,7.47295379,51.51359107,154.00,42.3,0.00,-104.00,-14.00,7.474795,51.512835,2680.000000
68,7.47297418,51.51368828,155.62,40.932,0.00,-104.00,-14.00,7.474795,51.512835,2680.000000
69,7.47299221,51.51378760,156.67,42.084,13.00,-103.00,-12.00,7.474795,51.512835,2680.000000
70,7.47298897,51.51388627,157.41,41.328,13.00,-103.00,-12.00,7.474795,51.512835,2680.000000
71,7.47299719,51.51398398,158.17,40.068,19.00,-100.00,-9.00,7.474795,51.512835,2680.000000
72,7.47300269,51.51408432,157.60,39.888,19.00,-100.00,-9.00,7.474795,51.512835,2680.000000
73,7.47300845,51.51418222,155.94,39.744,8.00,-96.00,-11.00,7.474795,51.512835,2680.000000
74,7.47300977,51.51427780,153.67,39.024,8.00,-96.00,-11.00,7.474795,51.512835,2680.000000
75,7.47300866,51.51437364,151.34,39.024,8.00,-99.00,-12.00,7.474795,51.512835,2680.000000
76,7.47300887,51.51446516,148.98,36.432,8.00,-99.00,-12.00,7.474795,51.512835,2680.000000
77,7.47300699,51.51453751,147.02,29.088,20.00,-101.00,-8.00,7.474795,51.512835,2680.000000
78,7.47301057,51.51459491,145.58,21.6,20.00,-101.00,-8.00,7.474795,51.512835,2680.000000
79,7.47300963,51.51464356,144.84,18.288,20.00,-99.00,-11.00,7.474795,51.512835,2680.000000
80,7.47300767,51.51468375,144.87,14.364,20.00,-99.00,-11.00,7.474795,51.512835,2680.000000
81,7.47301013,51.51471399,144.85,9.288,20.00,-99.00,-11.00,7.474795,51.512835,2680.000000
82,7.47301301,51.51473465,144.83,6.588,21.00,-100.00,-8.00,7.474795,51.512835,2680.000000
83,7.47301153,51.51474888,144.86,4.176,21.00,-100.00,-8.00,7.474795,51.512835,2680.000000
84,7.47301153,51.51474888,144.86,0,13.00,-100.00,-10.00,7.474795,51.512835,2680.000000
85,7.47301153,51.51474888,144.88,0,13.00,-100.00,-10.00,7.474795,51.512835,2680.000000
86,7.47301153,51.51474888,144.90,0,11.00,-101.00,-11.00,7.474795,51.512835,2680.000000
87,7.47301153,51.51474888,144.93,0,11.00,-101.00,-11.00,7.474795,51.512835,2680.000000
88,7.47301153,51.51474888,144.97,0,10.00,-102.00,-9.00,7.474795,51.512835,2680.000000
89,7.47301153,51.51474888,145.01,0,10.00,-102.00,-9.00,7.474795,51.512835,2680.000000
90,7.47301153,51.51474888,145.07,0,24.00,-102.00,-9.00,7.474795,51.512835,2680.000000
91,7.47301153,51.51474888,145.14,0,24.00,-102.00,-9.00,7.474795,51.512835,2680.000000
